GO:0080138 GO:0046715
GO:0018236 GO:0046863
GO:0050327 GO:0047035
GO:0047984 GO:0047046
GO:0016947 GO:0047068
GO:0008669 GO:0047070
GO:0008739 GO:0047091
GO:0018514 GO:0047120
GO:0010010 GO:0047130
GO:1990087 GO:0047152
GO:0045447 GO:0047155
GO:0000507 GO:0047184
GO:0103095 GO:0047196
GO:0050375 GO:0047262
GO:0047226 GO:0047273
GO:0003946 GO:0047276
GO:0047314 GO:0047305
GO:0047340 GO:0047339
GO:0016294 GO:0047381
GO:0019007 GO:0047444
GO:0080063 GO:0047450
GO:0047523 GO:0047455
GO:0018840 GO:0047466
GO:0004116 GO:0047555
GO:0034913 GO:0047556
GO:0046991 GO:0047606
GO:0008778 GO:0047617
GO:0016291 GO:0047617
GO:0016292 GO:0047617
GO:0080080 GO:0047668
GO:0047737 GO:0047735
GO:0047477 GO:0047747
GO:0052632 GO:0047780
GO:0047752 GO:0047787
GO:0050443 GO:0047930
GO:0036439 GO:0047952
GO:0033724 GO:0048001
GO:0071884 GO:0048018
GO:0015619 GO:0048502
GO:0033733 GO:0050024
GO:0047607 GO:0050079
GO:0019201 GO:0050145
GO:0018790 GO:0050150
GO:0000816 GO:0050262
GO:0048253 GO:0050333
GO:0016666 GO:0050421
GO:0050475 GO:0050474
GO:0050489 GO:0050488
GO:0008698 GO:0050515
GO:0008699 GO:0050518
GO:0018552 GO:0050524
GO:0008264 GO:0050567
GO:0017068 GO:0050567
GO:0030065 GO:0050587
GO:0045432 GO:0050589
GO:0045441 GO:0050599
GO:0018691 GO:0050611
GO:0000251 GO:0050613
GO:0018540 GO:0050625
GO:0004770 GO:0050632
GO:0042319 GO:0050640
GO:0045440 GO:0050640
GO:0051288 GO:0051287
GO:0051374 GO:0051373
GO:0051375 GO:0051373
GO:0051376 GO:0051373
GO:0051372 GO:0051393
GO:0017047 GO:0051424
GO:0031742 GO:0051429
GO:0031743 GO:0051430
GO:0031744 GO:0051431
GO:0051526 GO:0051525
GO:0051527 GO:0051525
GO:0051528 GO:0051525
GO:0051529 GO:0051525
GO:0051530 GO:0051525
GO:1901368 GO:0051724
GO:0008416 GO:0051750
GO:0004811 GO:0052381
GO:0043789 GO:0052621
GO:0004091 GO:0052689
GO:0004302 GO:0052689
GO:0004759 GO:0052689
GO:0016789 GO:0052689
GO:0140079 GO:0052720
GO:0022895 GO:0060072
GO:0032947 GO:0060090
GO:0015598 GO:0061459
GO:0102022 GO:0061459
GO:0008524 GO:0061513
GO:0016534 GO:0061575
GO:0016535 GO:0061575
GO:0090302 GO:0061630
GO:0090622 GO:0061630
GO:1904264 GO:0061630
GO:1904822 GO:0061630
GO:0045502 GO:0070840
GO:0042936 GO:0071916
GO:0071862 GO:0072542
GO:0072543 GO:0072542
GO:0051183 GO:0090482
GO:0050827 GO:0090729
GO:0103019 GO:0099621
GO:1904265 GO:0101005
GO:0008969 GO:0101006
GO:0032146 GO:0102025
GO:0035620 GO:0120017
GO:0017127 GO:0120020
GO:0061717 GO:0140142
GO:0090631 GO:0140142
GO:0098748 GO:0140312
GO:0005040 GO:0140319
GO:0004012 GO:0140326
GO:0008557 GO:0140326
GO:0010175 GO:0140338
GO:1901237 GO:1901238
GO:1901549 GO:1901239
GO:0045118 GO:1901474
GO:0015241 GO:1901478
GO:0015242 GO:1901479
GO:0042877 GO:1902301
GO:0070283 GO:1904047
GO:0015197 GO:1904680
GO:0015637 GO:1904680
GO:0090450 GO:1990003
GO:1990301 GO:1990300
GO:0061636 GO:1990757
GO:0061637 GO:1990948
GO:0090645 GO:1990948
